In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2019-01-29 01:30:00,2019-01-29 08:13:00,6:43,6:43,0:00,--,5:30,1:59,58,--,--
2019-01-31 06:02:00,2019-01-31 11:34:00,5:32,5:10,0:22,--,4:31,2:27,50,--,--
2019-02-01 00:51:00,2019-02-01 15:59:00,15:08,8:29,6:39,--,5:47,0:58,55,--,--
2019-02-02 01:59:00,2019-02-02 17:57:00,15:58,7:42,8:16,--,5:29,1:38,54,--,--
2019-02-03 11:46:00,2019-02-03 13:29:00,1:43,1:43,0:00,--,1:08,0:29,53,--,--
2019-02-04 08:24:00,2019-02-04 09:59:00,1:35,1:35,0:00,--,1:02,0:13,53,--,--
2019-02-06 03:33:00,2019-02-06 09:29:00,5:56,5:50,0:06,--,5:04,2:32,52,--,--
2019-02-07 03:15:00,2019-02-07 09:41:00,6:26,6:08,0:18,--,4:57,2:18,55,--,--
2019-02-08 04:12:00,2019-02-08 06:12:00,2:00,2:00,0:00,--,1:09,0:30,47,--,--
2019-02-09 01:16:00,2019-02-09 09:29:00,10:25,10:25,0:00,--,7:20,0:44,50,--,--
2019-02-11 03:52:00,2019-02-11 04:13:00,2:42,2:42,0:00,--,1:54,0:47,54,--,--
2019-02-12 02:37:00,2019-02-12 09:44:00,7:07,6:57,0:10,--,5:58,3:20,50,--,--
2019-02-13 04:00:00,2019-02-13 09:32:00,5:32,5:03,0:29,--,4:05,1:55,57,--,--
2019-02-15 08:45:00,2019-02-15 14:12:00,5:42,5:13,0:29,--,4:09,1:29,52,--,--
2019-02-16 02:03:00,2019-02-16 15:30:00,13:27,9:24,4:03,--,7:35,4:12,51,--,--
2019-02-17 01:14:00,2019-02-17 14:13:00,12:59,9:21,3:38,--,6:40,2:31,48,--,--
2019-02-18 07:44:00,2019-02-18 10:34:00,2:50,2:11,0:39,--,1:19,0:26,61,--,--
2019-02-19 03:15:00,2019-02-19 09:47:00,6:32,6:11,0:21,--,5:30,3:20,55,--,--
2019-02-22 08:45:00,2019-02-22 11:12:00,2:27,2:27,0:00,--,2:11,1:05,56,--,--
2019-02-24 13:31:00,2019-02-24 15:33:00,2:02,1:50,0:12,--,1:15,0:15,53,--,--
2019-02-25 00:00:00,2019-02-25 08:51:00,8:51,8:06,0:45,--,6:22,1:46,53,--,--
2019-02-26 01:15:00,2019-02-26 07:03:00,5:48,5:25,0:23,--,3:56,1:32,52,--,--
2019-02-27 00:01:00,2019-02-27 07:22:00,7:56,7:50,0:06,--,5:34,1:33,50,--,--
2019-02-28 00:00:00,2019-02-28 10:16:00,10:16,7:32,2:44,--,5:00,1:33,51,--,--
2019-03-01 00:00:00,2019-03-01 06:29:00,6:54,6:44,0:10,--,4:49,2:16,50,--,--
2019-03-02 03:45:00,2019-03-02 08:25:00,5:17,5:03,0:14,--,3:44,1:49,50,--,--
2019-03-03 00:00:00,2019-03-03 14:04:00,14:04,10:21,3:43,--,8:07,2:59,51,--,--
2019-03-05 00:05:39,2019-03-05 06:55:00,6:49,4:48,2:01,2:01,4:02,2:01,57,--,--
2019-03-06 01:36:36,2019-03-06 07:47:00,6:10,4:59,1:11,1:08,4:18,2:21,55,--,--
2019-03-07 01:51:59,2019-03-07 08:35:00,6:43,6:33,0:10,0:10,5:36,2:46,53,--,--
2019-03-08 06:00:00,2019-03-08 08:35:00,2:35,2:35,0:00,--,1:59,1:02,55,--,--
2019-03-09 00:01:00,2019-03-09 06:38:00,11:28,8:17,3:11,--,5:38,1:46,50,--,--
2019-03-10 00:31:00,2019-03-10 09:44:00,10:42,9:46,0:56,--,7:55,3:10,51,--,--
2019-03-12 03:15:00,2019-03-12 09:45:00,6:30,6:30,0:00,--,5:34,3:15,54,--,--
2019-03-13 03:26:00,2019-03-13 10:01:00,6:35,6:34,0:01,--,5:17,1:46,58,--,--
2019-03-14 01:58:00,2019-03-14 08:26:00,8:12,8:12,0:00,--,6:10,2:44,50,--,--
2019-03-15 06:22:00,2019-03-15 10:42:00,5:36,5:36,0:00,--,4:25,1:57,52,--,--
2019-03-16 00:01:00,2019-03-16 06:11:00,13:05,9:21,3:44,--,6:31,1:33,50,--,--
2019-03-17 01:15:00,2019-03-17 15:30:00,14:15,8:47,5:28,--,6:06,1:15,58,--,--
2019-03-19 03:15:00,2019-03-19 10:11:00,6:56,6:41,0:15,--,6:07,3:20,59,--,--
2019-03-20 02:15:00,2019-03-20 08:37:00,6:22,6:22,0:00,--,5:29,2:48,52,--,--
2019-03-21 03:49:00,2019-03-21 10:02:00,6:13,5:43,0:30,--,4:35,1:59,53,--,--
2019-03-22 07:01:00,2019-03-22 09:44:00,2:43,2:43,0:00,--,2:07,0:59,50,--,--
2019-03-23 03:00:00,2019-03-23 11:19:00,8:19,7:36,0:43,--,6:29,3:02,48,--,--
2019-03-24 03:45:00,2019-03-24 08:47:00,5:02,4:44,0:18,--,3:59,1:50,51,--,--
2019-03-25 00:25:00,2019-03-25 09:42:00,9:17,9:07,0:10,--,7:03,2:36,48,--,--
2019-03-27 02:46:00,2019-03-27 09:41:00,6:55,6:39,0:16,--,5:19,1:58,48,--,--
2019-03-28 03:58:00,2019-03-28 09:58:00,6:00,5:16,0:44,--,4:09,2:06,50,--,--
2019-03-31 00:45:00,2019-03-31 07:02:00,6:17,6:17,0:00,--,5:04,1:30,49,--,--
2019-04-03 02:00:00,2019-04-03 07:20:00,5:20,5:20,0:00,--,4:30,2:32,51,--,--
2019-04-04 04:45:00,2019-04-04 09:20:00,4:35,3:59,0:36,--,3:16,0:59,54,--,--
2019-04-05 00:46:00,2019-04-05 11:43:00,10:57,6:47,4:10,--,5:48,3:23,58,--,--
2019-04-08 03:46:00,2019-04-08 09:44:00,5:58,5:58,0:00,--,4:44,2:04,54,--,--
2019-04-10 02:46:00,2019-04-10 09:48:00,7:02,6:59,0:03,--,5:02,1:48,52,--,--
2019-04-12 06:15:00,2019-04-12 11:43:00,5:28,4:27,1:01,--,3:32,1:58,55,--,--
2019-04-13 00:15:00,2019-04-13 09:04:00,9:43,9:35,0:08,--,7:18,2:35,51,--,--
2019-04-14 02:15:00,2019-04-14 09:49:00,7:34,7:34,0:00,--,5:40,1:15,48,--,--
2019-04-16 02:16:00,2019-04-16 10:00:00,7:44,7:30,0:14,--,5:40,2:30,51,--,--
2019-04-17 04:15:00,2019-04-17 10:35:00,6:20,4:37,1:43,--,3:22,1:05,57,--,--
2019-04-18 17:06:00,2019-04-18 21:59:00,4:53,4:39,0:14,--,3:55,2:19,56,--,--
2019-04-20 03:30:00,2019-04-20 11:47:00,10:20,9:12,1:08,--,7:02,2:18,53,--,--
2019-04-21 02:03:00,2019-04-21 09:22:00,7:19,7:19,0:00,--,5:16,0:45,49,--,--
