Date,Weekdays,Hours,Minutes
3/18/2019,Mon,3,31
3/19/2019,Tue,4,50
3/19/2019,Wed,4,10
3/21/2019,Thu,3,8
3/22/2019,Fri,0,12
3/23/2019,Sat,4,0
3/24/2019,Sun,5,30
3/25/2019,Mon,2,5
3/26/2019,Tue,5,8
3/27/2019,Wed,5,15
3/28/2019,Thu,4,10
3/29/2019,Fri,3,40
3/30/2019,Sat,6,20
3/31/2019,Sun,8,2
4/1/2019,Mon,2,56
4/2/2019,Tue,5,40
4/3/2019,Wed,3,2
4/4/2019,Thu,6,14
4/5/2019,Fri,7,24
4/6/2019,Sat,5,27
4/7/2019,Sun,0,0
4/8/2019,Mon,1,12
4/9/2019,Tue,4,31
4/10/2019,Wed,2,27
4/11/2019,Thu,2,38
4/12/2019,Fri,0,36
4/13/2019,Sat,4,36
4/14/2019,Sun,1,25
4/15/2019,Mon,1,0
4/16/2019,Tue,3,0
4/17/2019,Wed,2,3
4/18/2019,Thu,7,18
4/19/2019,Fri,7,20
4/20/2019,Sat,3,30